platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,1999,209,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_209_archv.bsq,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_209_tc.bsq,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_209_cloudmask.bsq
TM,1999,241,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_241_archv.bsq,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_241_tc.bsq,M:\Bering_Glacier\063018\images\1999\LE7063018_1999_241_cloudmask.bsq
TM,1999,89,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_089_archv.bsq,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_089_tc.bsq,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_089_cloudmask.bsq
TM,1999,185,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_185_archv.bsq,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_185_tc.bsq,M:\Bering_Glacier\063018\images\1999\LT5063018_1999_185_cloudmask.bsq
TM,2000,100,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_100_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_100_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_100_cloudmask.bsq
TM,2000,132,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_132_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_132_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_132_cloudmask.bsq
TM,2000,148,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_148_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_148_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_148_cloudmask.bsq
TM,2000,164,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_164_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_164_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_164_cloudmask.bsq
TM,2000,244,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_244_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_244_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_244_cloudmask.bsq
TM,2000,308,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_308_archv.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_308_tc.bsq,M:\Bering_Glacier\063018\images\2000\LE7063018_2000_308_cloudmask.bsq
