platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,1990,217,T:\Groups\Spacers-Annex2\Scenes\046031\images\1990\LT5046031_1990_217_20120326_165011_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1990\LT5046031_1990_217_20120327_104058_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1990\LT5046031_1990_217_20120127_080455_cloudmask.bsq
TM,1991,188,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_188_20120326_165723_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_188_20120327_104341_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_188_20120127_080609_cloudmask.bsq
TM,1991,204,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_204_20120326_170341_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_204_20120327_104627_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_204_20120127_080743_cloudmask.bsq
TM,1991,220,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_220_20120326_170936_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_220_20120327_104907_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_220_20120127_080901_cloudmask.bsq
TM,1991,236,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_236_20120326_171609_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_236_20120327_105151_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1991\LT5046031_1991_236_20120127_081036_cloudmask.bsq
TM,1992,231,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_231_20120326_172154_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_231_20120327_105450_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_231_20120127_081427_cloudmask.bsq
TM,1992,223,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_223_20120326_172833_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_223_20120327_105748_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_223_20120127_081314_cloudmask.bsq
TM,1992,239,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_239_20120326_173516_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_239_20120327_110035_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT5046031_1992_239_20120127_081552_cloudmask.bsq
TM,1992,215,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_215_20120326_174124_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_215_20120327_110327_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1992\LT4046031_1992_215_20120127_081158_cloudmask.bsq
TM,1993,241,T:\Groups\Spacers-Annex2\Scenes\046031\images\1993\LT5046031_1993_241_20120326_174751_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1993\LT5046031_1993_241_20120327_110607_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1993\LT5046031_1993_241_20120127_081725_cloudmask.bsq
TM,1994,212,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_212_20120326_175420_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_212_20120327_110853_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_212_20120127_081956_cloudmask.bsq
TM,1994,228,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_228_20120326_180001_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_228_20120327_111140_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_228_20120127_082133_cloudmask.bsq
TM,1994,196,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_196_20120326_180622_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_196_20120327_111425_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1994\LT5046031_1994_196_20120127_081841_cloudmask.bsq
TM,1995,215,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_215_20120326_181316_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_215_20120327_111711_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_215_20120127_082500_cloudmask.bsq
TM,1995,231,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_231_20120326_182008_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_231_20120327_111953_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_231_20120127_082618_cloudmask.bsq
TM,1995,183,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_183_20120326_182624_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_183_20120327_112236_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1995\LT5046031_1995_183_20120127_082249_cloudmask.bsq
TM,1996,186,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_186_20120326_183251_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_186_20120327_112522_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_186_20120127_082734_cloudmask.bsq
TM,1996,202,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_202_20120326_183853_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_202_20120327_112809_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_202_20120127_082934_cloudmask.bsq
TM,1996,218,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_218_20120326_184430_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_218_20120327_113051_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_218_20120127_083050_cloudmask.bsq
TM,1996,234,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_234_20120326_185121_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_234_20120327_113340_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1996\LT5046031_1996_234_20120127_083312_cloudmask.bsq
TM,1997,204,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_204_20120326_185815_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_204_20120327_113636_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_204_20120127_083558_cloudmask.bsq
TM,1997,220,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_220_20120326_190351_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_220_20120327_113925_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_220_20120127_083715_cloudmask.bsq
TM,1997,188,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_188_20120326_190930_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_188_20120327_114207_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1997\LT5046031_1997_188_20120127_083439_cloudmask.bsq
TM,1998,207,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_207_20120326_191609_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_207_20120327_114455_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_207_20120127_083821_cloudmask.bsq
TM,1998,223,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_223_20120326_192139_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_223_20120327_114743_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_223_20120127_083933_cloudmask.bsq
TM,1998,239,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_239_20120326_192824_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_239_20120327_115034_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1998\LT5046031_1998_239_20120127_084046_cloudmask.bsq
TM,1999,234,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_234_20120326_193500_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_234_20120327_115328_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_234_20120127_084729_cloudmask.bsq
TM,1999,194,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_194_20120326_194047_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_194_20120327_115618_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_194_20120127_084154_cloudmask.bsq
TM,1999,210,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_210_20120326_194643_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_210_20120327_115908_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_210_20120127_084442_cloudmask.bsq
TM,1999,226,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_226_20120326_195406_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_226_20120327_120158_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LT5046031_1999_226_20120127_084550_cloudmask.bsq
TM,1999,202,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_202_20120326_200000_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_202_20120327_120448_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1999\LE7046031_1999_202_20120127_084320_cloudmask.bsq
TM,2000,205,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_205_20120326_200625_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_205_20120327_120738_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_205_20120127_084946_cloudmask.bsq
TM,2000,221,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_221_20120326_201335_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_221_20120327_121026_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_221_20120127_085052_cloudmask.bsq
